TeamID,TeamName,FirstD1Season,LastD1Season
1251,Liberty,1989,2025
1252,Lipscomb,2003,2025
1253,Long Beach St,1985,2025
1254,LIU Brooklyn,1985,2025
1255,Longwood,2005,2025
1256,Louisiana Tech,1985,2025
1257,Louisville,1985,2025
1258,Loy Marymount,1985,2025
1259,Loyola MD,1985,2025
1260,Loyola-Chicago,1985,2025
1261,LSU,1985,2025
1262,MA Lowell,2014,2025
1263,Maine,1985,2025
1264,Manhattan,1985,2025
1265,Marist,1985,2025
1266,Marquette,1985,2025
1267,Marshall,1985,2025
1268,Maryland,1985,2025
1269,Massachusetts,1985,2025
1270,McNeese St,1985,2025
1271,MD E Shore,1985,2025
1272,Memphis,1985,2025
1273,Mercer,1985,2025
1274,Miami FL,1986,2025
1275,Miami OH,1985,2025
1276,Michigan,1985,2025
1277,Michigan St,1985,2025
1278,Minnesota,1985,2025
1279,Mississippi,1985,2025
1280,Mississippi St,1985,2025
1281,Missouri,1985,2025
1282,Missouri KC,1990,2025
1283,Missouri St,1985,2025
1284,Monmouth NJ,1985,2025
1285,Montana,1985,2025
1286,Montana St,1985,2025
1287,Morehead St,1985,2025
1288,Morgan St,1985,2025
1289,Morris Brown,2002,2003
1290,MS Valley St,1985,2025
1291,Mt St Mary's,1989,2025
1292,MTSU,1985,2025
1293,Murray St,1985,2025
1294,N Colorado,2005,2025
1295,N Dakota St,2006,2025
1296,N Illinois,1985,2025
1297,N Kentucky,2013,2025
1298,Navy,1985,2025
1299,NC A&T,1985,2025
1300,NC Central,2008,2025
1301,NC State,1985,2025
1302,NE Illinois,1991,1998
1303,NE Omaha,2012,2025
1304,Nebraska,1985,2025
1305,Nevada,1985,2025
1306,New Hampshire,1985,2025
1307,New Mexico,1985,2025
1308,New Mexico St,1985,2025
1309,New Orleans,1985,2025
1310,Niagara,1985,2025
1311,Nicholls St,1985,2025
1312,NJIT,2007,2025
1313,Norfolk St,1998,2025
1314,North Carolina,1985,2025
1315,North Dakota,2009,2025
1316,North Florida,2006,2025
1317,North Texas,1985,2025
1318,Northeastern,1985,2025
1319,Northern Arizona,1985,2025
1320,Northern Iowa,1985,2025
1321,Northwestern,1985,2025
1322,Northwestern LA,1985,2025
1323,Notre Dame,1985,2025
1324,Oakland,2000,2025
1325,Ohio,1985,2025
1326,Ohio St,1985,2025
1327,Okla City,1985,1985
1328,Oklahoma,1985,2025
1329,Oklahoma St,1985,2025
1330,Old Dominion,1985,2025
1331,Oral Roberts,1985,2025
1332,Oregon,1985,2025
1333,Oregon St,1985,2025
1334,Pacific,1985,2025
1335,Penn,1985,2025
1336,Penn St,1985,2025
1337,Pepperdine,1985,2025
1338,Pittsburgh,1985,2025
1339,Portland,1985,2025
1340,Portland St,1999,2025
1341,Prairie View,1985,2025
1342,Presbyterian,2008,2025
1343,Princeton,1985,2025
1344,Providence,1985,2025
1345,Purdue,1985,2025
1346,Quinnipiac,1999,2025
1347,Radford,1985,2025
1348,Rhode Island,1985,2025
1349,Rice,1985,2025
1350,Richmond,1985,2025
1351,Rider,1985,2025
1352,Robert Morris,1985,2025
1353,Rutgers,1985,2025
1354,S Carolina St,1985,2025
1355,S Dakota St,2006,2025
1356,S Illinois,1985,2025
1357,Sacred Heart,2000,2025
1358,Sam Houston St,1987,2025
1359,Samford,1985,2025
1360,San Diego,1985,2025
1361,San Diego St,1985,2025
1362,San Francisco,1986,2025
1363,San Jose St,1985,2025
1364,UC Santa Barbara,1985,2025
1365,Santa Clara,1985,2025
1366,Savannah St,2003,2019
1367,SC Upstate,2008,2025
1368,SE Louisiana,1985,2025
1369,SE Missouri St,1992,2025
1370,Seattle,2009,2025
1371,Seton Hall,1985,2025
1372,SF Austin,1987,2025
1373,Siena,1985,2025
1374,SMU,1985,2025
1375,South Alabama,1985,2025
1376,South Carolina,1985,2025
1377,South Dakota,2009,2025
1378,South Florida,1985,2025
1379,Southern Miss,1985,2025
1380,Southern Univ,1985,2025
1381,Southern Utah,1989,2025
1382,St Bonaventure,1985,2025
1383,St Francis NY,1985,2023
1384,St Francis PA,1985,2025
1385,St John's,1985,2025
1386,St Joseph's PA,1985,2025
1387,St Louis,1985,2025
1388,St Mary's CA,1985,2025
1389,St Peter's,1985,2025
1390,Stanford,1985,2025
1391,Stetson,1985,2025
1392,Stony Brook,2000,2025
1393,Syracuse,1985,2025
1394,TAM C. Christi,2003,2025
1395,TCU,1985,2025
1396,Temple,1985,2025
1397,Tennessee,1985,2025
1398,Tennessee St,1985,2025
1399,Tennessee Tech,1985,2025
1400,Texas,1985,2025
1401,Texas A&M,1985,2025
1402,Texas St,1985,2025
1403,Texas Tech,1985,2025
1404,TN Martin,1993,2025
1405,Toledo,1985,2025
1406,Towson,1985,2025
1407,Troy,1994,2025
1408,Tulane,1985,2025
1409,Tulsa,1985,2025
1410,UTRGV,1985,2025
1411,TX Southern,1985,2025
1412,UAB,1985,2025
1413,UC Davis,2005,2025
1414,UC Irvine,1985,2025
1415,UC Riverside,2002,2025
1416,UCF,1985,2025
1417,UCLA,1985,2025
1418,Louisiana,1985,2025
1419,ULM,1985,2025
1420,UMBC,1987,2025
1421,UNC Asheville,1987,2025
1422,UNC Greensboro,1992,2025
1423,UNC Wilmington,1985,2025
1424,UNLV,1985,2025
1425,USC,1985,2025
1426,UT Arlington,1985,2025
1427,UT San Antonio,1985,2025
1428,Utah,1985,2025
1429,Utah St,1985,2025
1430,Utah Valley,2005,2025
1431,UTEP,1985,2025
1432,Utica,1985,1987
1433,VCU,1985,2025
1434,Valparaiso,1985,2025
1435,Vanderbilt,1985,2025
1436,Vermont,1985,2025
1437,Villanova,1985,2025
1438,Virginia,1985,2025
1439,Virginia Tech,1985,2025
1440,VMI,1985,2025
1441,W Carolina,1985,2025
1442,W Illinois,1985,2025
1443,WKU,1985,2025
1444,W Michigan,1985,2025
1445,W Salem St,2007,2010
1446,W Texas A&M,1985,1986
1447,Wagner,1985,2025
1448,Wake Forest,1985,2025
1449,Washington,1985,2025
1450,Washington St,1985,2025
1451,Weber St,1985,2025
1452,West Virginia,1985,2025
1453,WI Green Bay,1985,2025
1454,WI Milwaukee,1991,2025
1455,Wichita St,1985,2025
1456,William & Mary,1985,2025
1457,Winthrop,1987,2025
1458,Wisconsin,1985,2025
1459,Wofford,1996,2025
1460,Wright St,1988,2025
1461,Wyoming,1985,2025
1462,Xavier,1985,2025
1463,Yale,1985,2025
1464,Youngstown St,1985,2025
1465,Cal Baptist,2019,2025
1466,North Alabama,2019,2025
1467,Merrimack,2020,2025
1468,Bellarmine,2021,2025
1469,Utah Tech,2021,2025
1470,Tarleton St,2021,2025
1471,UC San Diego,2021,2025
1472,St Thomas MN,2022,2025
1473,Lindenwood,2023,2025
1474,Queens NC,2023,2025
1475,Southern Indiana,2023,2025
1476,Stonehill,2023,2025
1477,East Texas A&M,2023,2025
1478,Le Moyne,2024,2025
1479,Mercyhurst,2025,2025
1480,West Georgia,2025,2025
